t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20,path_21,path_22,path_23,path_24,path_25,path_26,path_27,path_28,path_29,path_30,path_31,path_32,path_33,path_34,path_35,path_36,path_37,path_38,path_39,path_40,path_41,path_42,path_43,path_44,path_45,path_46,path_47,path_48,path_49,path_50,path_51,path_52,path_53,path_54,path_55,path_56,path_57,path_58,path_59,path_60,path_61,path_62,path_63,path_64,path_65,path_66,path_67,path_68,path_69,path_70,path_71,path_72,path_73,path_74,path_75,path_76,path_77,path_78,path_79,path_80,path_81,path_82,path_83,path_84,path_85,path_86,path_87,path_88,path_89,path_90,path_91,path_92,path_93,path_94,path_95,path_96,path_97,path_98,path_99
0.02,-0.182237,-0.0744779,0.351739,-0.149715,0.0268001,0.0821524,0.128273,0.102055,-0.0418317,0.0658567,-0.0462034,0.16142,-0.0422762,0.214063,-0.0641286,0.0182506,-0.0450104,0.109653,-0.106539,-0.124305,-0.201417,0.389932,-0.209697,-0.0699712,-0.0403864,0.181049,0.141457,-0.00304879,-0.0951939,0.0086783,-0.312025,0.178559,-0.247845,-0.225681,-0.0793256,0.0385928,-0.0915401,0.125859,0.0655758,0.247297,-0.0709096,-0.160771,-0.00363755,0.105453,0.0188248,-0.0985005,0.267886,-0.0529193,0.000682204,0.0588843,-0.0873003,-0.0694808,0.108361,0.0391337,0.0803419,0.296787,-0.0834786,0.00887034,0.114901,0.0777239,-0.0383763,0.116661,0.0957325,0.0399491,-0.0708306,0.119253,0.17453,-0.314036,-0.183768,0.0140132,-0.132005,-0.0962054,-0.187853,0.0228836,-0.259087,-0.0530736,0.0643345,-0.156985,0.0952735,0.136568,-0.03442,-0.21567,0.0436795,-0.124633,0.0557784,-0.0835804,-0.164288,-0.0158125,-0.0506888,0.121971,0.100839,0.0162786,-0.0506036,0.0265945,-0.0789533,-0.0213142,0.170398,0.128578,0.000689475,0.0693789
0.022,-0.113052,-0.0950479,0.273324,-0.134003,0.125974,0.121325,0.100354,0.0831321,-0.0708788,-0.0376345,-0.0735533,0.162806,-0.0632863,0.183344,-0.013884,0.0645836,-0.0516911,0.123381,-0.131741,-0.174058,-0.243684,0.43001,-0.197644,-0.0569961,-0.0473085,0.161097,0.0762521,0.00486071,-0.0685499,0.0315223,-0.307052,0.184781,-0.284632,-0.188097,-0.0224694,-0.0168117,-0.130126,0.190512,0.0977834,0.264226,-0.0786923,-0.15463,0.043275,0.0304503,0.0743093,-0.132419,0.311298,-0.00206631,0.0332681,0.0514279,-0.0738883,-0.0681632,0.12293,0.0866395,0.0581121,0.350163,0.00800515,-0.00398556,0.183095,0.111871,-0.0384476,0.141919,0.13303,0.0815172,-0.0332099,0.165393,0.181525,-0.257208,-0.195867,-0.0103347,-0.119472,-0.0796539,-0.204808,0.0446543,-0.288345,-0.0438672,0.0245527,-0.103575,0.115737,0.103641,-0.00775632,-0.249399,0.0459167,-0.0722901,0.126398,-0.105413,-0.154863,0.038998,-0.054643,0.157645,0.0578499,-0.0206263,0.0242722,0.0377898,-0.0754165,-0.0110721,0.197787,0.085318,-0.0922852,0.0119151
0.024,-0.0400122,-0.110908,0.227425,-0.0759162,0.114935,0.0948182,0.0631942,0.0859096,-0.112589,-0.00253911,-0.123407,0.168356,-0.0703585,0.235377,-0.0198123,0.0549586,0.00217696,0.0783397,-0.158575,-0.134217,-0.301144,0.379727,-0.147089,-0.0410786,-0.0817772,0.122176,0.0596975,-0.0172044,-0.0560678,-0.0401704,-0.235475,0.170001,-0.300035,-0.157298,-0.00164245,0.0111246,-0.0476678,0.274969,0.121218,0.273243,-0.0717009,-0.167945,0.0638807,0.0705675,0.0769671,-0.0610783,0.283938,0.0197683,-0.0216541,0.0852738,-0.0893064,-0.0834119,0.140608,0.060422,0.096164,0.368848,-0.0337447,-0.0168389,0.192995,0.0458076,-0.105858,0.138092,0.128858,0.0881642,-0.0280239,0.208417,0.11012,-0.220173,-0.155086,-0.050295,-0.080463,-0.154665,-0.290557,-0.0415386,-0.224905,-0.0677682,0.0208145,-0.129554,0.200761,0.121101,0.0743769,-0.234635,0.0169617,-0.0447577,0.0984176,-0.106073,-0.237754,0.089635,-0.0121132,0.186819,0.0296975,-0.00765892,0.0870826,0.0648929,-0.0613264,0.0617358,0.180727,0.0853366,-0.0903977,0.00789053
0.026,-0.112688,-0.0842551,0.22046,-0.0322739,0.0552592,0.133901,-0.0300486,0.0683698,-0.111571,0.00038872,-0.130919,0.219251,0.00834458,0.233758,-0.0264017,0.0585067,-0.046608,0.0528307,-0.105707,-0.161874,-0.287979,0.32272,-0.139467,-0.105597,-0.0628739,0.135371,0.045122,-0.0642823,-0.0288737,-0.0412357,-0.260417,0.225515,-0.268524,-0.142134,0.0110966,0.0242371,-0.109158,0.288253,0.138348,0.210166,-0.086313,-0.176108,0.049088,0.0650278,0.137514,-0.0532178,0.284872,-0.0397482,0.0368694,0.159696,-0.103892,-0.0690128,0.177701,0.113513,0.0347373,0.429453,0.0245717,-0.00832691,0.196594,0.0367506,-0.111116,0.145214,0.142182,0.147743,-0.030552,0.222223,0.125994,-0.134911,-0.112209,-0.0643738,-0.112471,-0.157496,-0.30977,-0.0221424,-0.282334,-0.033691,0.0181079,-0.139442,0.216085,0.1054,0.148346,-0.250938,0.0111997,-0.0816164,0.0941615,-0.0992677,-0.258721,0.10491,-0.0399905,0.140958,0.119467,-0.0809537,0.0841413,0.115426,-0.07156,0.0896057,0.109045,0.127399,-0.0582845,0.0133501
0.028,-0.0590454,-0.0436248,0.233591,-0.0266387,0.08875,0.147756,-0.0439443,0.0038488,-0.138816,0.033558,-0.0614846,0.107796,-0.0306731,0.209078,-0.00823025,0.0471427,-0.0169024,-0.040461,-0.145618,-0.0990863,-0.344673,0.324279,-0.0788553,-0.0827456,-0.0276706,0.0885744,0.0324015,-0.0137358,-0.0891972,-0.14236,-0.292215,0.286279,-0.31426,-0.0655253,0.0229911,0.0349262,-0.111429,0.323711,0.146035,0.261492,-0.192271,-0.136413,0.109115,0.0087591,0.189374,-0.0286017,0.316842,-0.0392,0.0485995,0.157739,-0.0430016,0.0644895,0.162633,0.0955923,0.0246936,0.361351,-0.00153624,-0.018651,0.155855,-0.00445855,-0.104098,0.180177,0.0973256,0.141533,-0.066783,0.252059,0.125454,-0.150955,-0.179724,-0.117266,-0.0964599,-0.0758353,-0.378453,-0.0786118,-0.250558,0.00708912,0.0191351,-0.194056,0.173316,0.0436597,0.188979,-0.26258,-0.0647201,-0.130526,0.101512,-0.144872,-0.253339,0.078447,-0.0171881,0.0985099,0.130991,-0.0648156,0.0725544,0.0712335,-0.0464724,0.105157,0.103965,0.112507,-0.0807233,0.00710335
0.03,-0.0984612,-0.0922863,0.211336,-0.043342,0.0835215,0.136858,-0.0390504,-0.0363352,-0.178795,-0.0340442,-0.0285559,0.115864,-0.0457837,0.238979,-0.00078709,0.0346611,0.0337446,-0.0770013,-0.131259,-0.0390276,-0.37784,0.347674,0.010185,-0.073295,-0.0120001,0.106385,0.0846256,0.0230079,-0.137227,-0.167464,-0.275217,0.265518,-0.305956,-0.047019,-0.0272637,0.0876081,-0.151185,0.30656,0.12368,0.385333,-0.180932,-0.110448,0.136048,0.0181842,0.0883197,-0.0124295,0.259578,-0.0611731,0.0956609,0.178206,-0.0166041,0.0806205,0.151374,0.202141,-0.0097511,0.384222,-0.00251917,-0.014883,0.131855,0.00244294,-0.0345708,0.176064,0.180733,0.0383671,-0.0978962,0.277437,0.184419,-0.237493,-0.109793,-0.120611,-0.13553,-0.0417348,-0.346458,-0.118114,-0.240496,0.0300882,0.0122693,-0.141782,0.196661,0.090029,0.13791,-0.298315,-0.0557391,-0.160616,0.209905,-0.130938,-0.25437,0.0418394,-0.0293433,0.113718,0.0242305,0.0153692,0.132801,0.0832377,-0.0381608,0.0513022,0.128611,0.128891,-0.144739,-0.0227106
0.032,-0.0803227,-0.125983,0.255986,-0.0274032,0.117157,0.209333,0.0288186,-0.0374868,-0.259276,0.00283558,-0.0682512,0.0669624,-0.0588449,0.167918,0.0496178,0.014847,0.0533685,-0.00268037,-0.111833,-0.0610784,-0.430849,0.304466,0.0400833,-0.0534641,-0.016013,0.146823,0.0782836,0.0306612,-0.111513,-0.209118,-0.273024,0.274809,-0.367888,-0.0327592,-0.0329811,0.186612,-0.178114,0.297011,0.133977,0.48999,-0.108634,-0.0793146,0.101959,0.0281998,0.054989,0.0410244,0.248714,-0.115055,0.083164,0.246643,0.0161803,0.122786,0.159781,0.194226,0.00949891,0.403862,0.0164657,0.0318479,0.144164,0.0521162,-0.0975313,0.259196,0.185405,0.0591166,-0.134606,0.292557,0.216357,-0.285635,-0.0982705,-0.150076,-0.106519,0.00431035,-0.261509,-0.139588,-0.20009,-0.00105941,0.0577447,-0.183444,0.240964,0.223868,0.104715,-0.346848,-0.0756286,-0.144817,0.229417,-0.1324,-0.290358,0.0911881,-0.0353925,0.014599,0.0542046,0.0175195,0.214549,0.054439,-0.0629939,0.0490205,0.165142,0.0515722,-0.103696,-0.0146153
0.034,-0.0355871,-0.137376,0.213122,-0.0107827,0.177268,0.196894,0.0516532,0.0969179,-0.244542,0.0281455,-0.149058,-0.00190035,-0.0866578,0.157039,-0.0133649,0.081702,0.0816533,-0.0582594,-0.0761427,-0.13564,-0.463527,0.291368,-0.0287094,-0.0444682,-0.0134444,0.231866,0.0851298,0.00653769,-0.136591,-0.202075,-0.201217,0.354584,-0.373494,-0.0480357,-0.0767491,0.180801,-0.150675,0.284561,0.113478,0.457615,-0.081728,-0.0305981,0.0487013,0.0521822,-0.0142776,-0.0169495,0.257484,-0.107045,0.0733952,0.271774,0.035823,0.12044,0.168975,0.236521,-0.0453999,0.391709,-0.0814658,0.0427559,0.1564,-0.0209976,-0.078695,0.256915,0.183729,0.124298,-0.173429,0.309649,0.151361,-0.267836,0.0161761,-0.122128,-0.118602,0.0189271,-0.225969,-0.156913,-0.114745,0.00728884,0.0478441,-0.220792,0.173774,0.16556,0.067179,-0.356771,-0.0186273,-0.117626,0.184569,-0.0886509,-0.242063,0.0482654,-0.0822218,0.0263076,0.0633922,0.0104209,0.234628,0.0652823,-0.00941322,0.0811215,0.137016,0.0796717,-0.127145,-0.023125
0.036,-0.00854745,-0.150376,0.200225,0.0153753,0.145745,0.211827,0.0133922,0.0617518,-0.326837,0.0232639,-0.16249,-0.0207261,-0.129335,0.147926,0.0384421,0.0174503,0.110518,-0.141224,0.0223566,-0.0669074,-0.389478,0.309975,-0.0304754,-0.0304398,-0.0274251,0.339266,0.0216417,0.0219532,-0.13264,-0.220464,-0.260209,0.38694,-0.327458,-0.059235,-0.0408915,0.238096,-0.235546,0.232608,0.173338,0.405527,-0.0879193,-0.0143106,0.127719,-0.0019158,-0.0665042,-0.00414863,0.246381,-0.0963893,0.0646754,0.217288,0.0802788,0.130015,0.211362,0.192563,-0.159781,0.385901,-0.0571918,0.041464,0.139552,0.0679143,-0.104544,0.170332,0.286542,0.153233,-0.231936,0.262805,0.0111006,-0.25458,0.0295206,-0.103543,-0.190003,-0.0558073,-0.298392,-0.0730622,-0.163339,0.0591625,0.0134133,-0.234103,0.168101,0.117902,0.0611401,-0.313441,-0.131175,-0.106503,0.20088,-0.0961718,-0.166259,0.0483585,-0.102318,-0.00193304,0.159676,0.00165624,0.149551,0.118018,-0.0352203,0.033215,0.191316,0.0592799,-0.147648,-0.0551863
0.038,-0.0714827,-0.0769997,0.186272,-0.0679112,0.112117,0.144323,0.0302415,0.0699817,-0.296594,-0.00833723,-0.110502,-0.0575492,-0.142261,0.146654,0.0352782,-0.0386329,0.0752883,-0.090718,-0.0125437,-0.00723797,-0.396017,0.305322,-0.0637697,-0.0917834,0.0638936,0.363158,0.100749,0.0963328,-0.169818,-0.265247,-0.260846,0.37992,-0.329926,-0.0457826,0.0267748,0.244738,-0.269638,0.307143,0.10717,0.402158,-0.0904793,-0.0453841,0.195494,-0.036985,-0.133915,-0.0342116,0.208723,-0.0533585,0.0466606,0.152854,0.064306,0.203015,0.255681,0.249429,-0.195607,0.371339,-0.171048,0.0683637,0.176812,0.0566339,-0.128253,0.184086,0.296061,0.143123,-0.265608,0.29205,0.0221792,-0.223908,0.0172678,-0.071402,-0.154401,-0.0917436,-0.320038,-0.0835287,-0.144282,-0.0226406,-0.0140876,-0.283505,0.177067,0.199445,0.0245967,-0.320881,-0.0846157,-0.0801044,0.182338,-0.124004,-0.203931,0.0404331,-0.0914064,0.0116305,0.0538734,0.112857,0.117145,0.0666897,-0.0928379,0.0335434,0.203983,0.0106535,-0.133954,-0.0986002
0.04,-0.157622,-0.0876178,0.168144,-0.0879453,0.112691,0.103859,-0.0129625,0.143925,-0.292753,0.087986,-0.128863,-0.025472,-0.108078,0.110164,0.00808633,-0.117408,0.123433,-0.0456333,0.0128507,-0.0541365,-0.449031,0.312967,-0.0658891,-0.0648921,0.0842362,0.356722,0.0916855,0.0965456,-0.228463,-0.2657,-0.238665,0.345429,-0.292632,-0.0176003,0.0795256,0.227765,-0.262644,0.271578,0.133173,0.326403,0.000713044,0.0105853,0.250238,0.0192371,-0.0914554,-0.0547399,0.197762,-0.116782,-0.0179043,0.196103,0.031925,0.201314,0.172787,0.244346,-0.197539,0.389716,-0.167768,0.0483967,0.227884,0.0836012,-0.115005,0.226423,0.387259,0.108488,-0.228514,0.253866,0.00700865,-0.243283,0.057088,0.00212049,-0.154515,-0.0360599,-0.338429,-0.0320457,-0.107536,-0.0868978,-0.0797145,-0.213615,0.129067,0.166743,0.0307579,-0.321256,-0.0824125,-0.0541903,0.210924,-0.117355,-0.215259,0.0491621,-0.0244302,0.0025689,0.0625538,0.173804,0.0782727,-0.0201373,-0.151232,0.0298767,0.179564,0.0414852,-0.0963544,-0.116615
0.042,-0.191019,-0.130543,0.10415,-0.0772933,0.126011,0.0556231,-0.0404123,0.187673,-0.27989,0.109543,-0.147626,-0.0276636,-0.133171,0.112456,0.0298883,-0.0738359,0.131078,0.00491048,0.000152548,-0.193961,-0.481085,0.310623,-0.0926445,-0.0895438,0.0674443,0.386163,0.137699,0.0729488,-0.318325,-0.251493,-0.198885,0.355992,-0.36448,-0.0584294,0.0855708,0.20794,-0.261933,0.337848,0.128335,0.359045,-0.00319103,0.0190735,0.249611,-0.0635572,-0.11835,0.0152182,0.244238,-0.145942,-0.00499057,0.177925,0.0432224,0.202273,0.152257,0.219458,-0.196622,0.398093,-0.148211,0.1141,0.244969,0.0695269,-0.101408,0.245072,0.294955,0.170335,-0.207808,0.125727,0.00771649,-0.234436,0.0796231,-0.0615598,-0.181826,-0.0561638,-0.34179,-0.0632141,-0.138911,-0.151648,-0.0795734,-0.239975,0.214129,0.0607216,0.014876,-0.303851,-0.0583715,-0.0679305,0.200119,-0.0958323,-0.164356,0.0310988,-0.0702891,0.0423574,0.0530362,0.223325,0.167321,-0.0128291,-0.0658866,0.0667969,0.201058,0.0974563,-0.0795951,-0.129933
