t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19
0.036,0.0844248,0.209395,0.259904,0.0621521,-0.209487,0.244072,0.0743563,0.264479,-0.147962,-0.413306,0.128131,0.349469,-0.0304632,-0.0408081,0.0293555,0.360458,-0.109438,-0.000385312,-0.0308601,-0.296419
0.038,0.0753029,0.271629,0.255837,0.0779975,-0.271808,0.35332,0.120726,0.181176,-0.167441,-0.462487,0.180218,0.253903,-0.050448,-0.0632639,-0.013888,0.405207,-0.0946213,0.025096,-0.0529141,-0.248787
0.04,0.121509,0.26951,0.274367,0.128608,-0.33177,0.3273,0.114636,0.143109,-0.153688,-0.437591,0.198322,0.238014,-0.0430227,-0.0129056,0.000633076,0.40455,-0.036412,0.0660446,-0.133945,-0.263769
0.042,0.10658,0.233637,0.369593,0.127996,-0.304873,0.328767,0.135378,0.146956,-0.213821,-0.468437,0.239711,0.257664,-0.0207872,0.0367619,-0.0416032,0.354687,-0.0307704,0.0816709,-0.134231,-0.1741
0.044,0.138446,0.239909,0.349532,0.1254,-0.288503,0.25194,0.152305,0.164437,-0.134806,-0.484423,0.211818,0.314963,-0.0761752,0.124629,-0.0984478,0.359674,-0.0169623,0.0570634,-0.151919,-0.165423
0.046,0.199204,0.239968,0.479902,0.0623428,-0.235005,0.215821,0.190206,0.0833541,-0.208761,-0.467505,0.174809,0.314024,-0.0781806,0.157434,-0.154564,0.376726,-0.0247906,0.0234049,-0.0846075,-0.0867241
0.048,0.192176,0.288193,0.490359,0.0192151,-0.250484,0.210305,0.134999,0.0977004,-0.246595,-0.494801,0.167641,0.328095,-0.0479908,0.114707,-0.126138,0.401593,-0.128412,0.0372122,-0.0977825,-0.0642772
0.05,0.135895,0.210917,0.507615,-0.0188241,-0.221777,0.285718,0.0710289,0.0913655,-0.24391,-0.535798,0.164633,0.328469,-0.096913,0.197037,-0.177841,0.404986,-0.221676,0.00977172,-0.106346,-0.0620019
0.052,0.11916,0.206731,0.473417,0.0163942,-0.249912,0.184447,0.0307091,0.0783944,-0.211059,-0.582311,0.18613,0.312425,-0.127669,0.173147,-0.186115,0.35,-0.20197,0.0937651,-0.117294,-0.0960751
0.054,0.129862,0.182443,0.485127,0.00137243,-0.231091,0.166527,0.0553065,0.146587,-0.213323,-0.552206,0.22665,0.330151,-0.0922138,0.191405,-0.184729,0.302665,-0.181997,0.143561,-0.136679,-0.149239
0.056,0.184721,0.134024,0.453822,-0.0509257,-0.23553,0.193548,0.0925096,0.104023,-0.156933,-0.526603,0.190806,0.336183,-0.0824607,0.217679,-0.171296,0.276306,-0.195233,0.227979,-0.081584,-0.0735365
0.058,0.22716,0.10388,0.463495,-0.00815863,-0.29224,0.243634,0.175398,0.128053,-0.198968,-0.510913,0.209826,0.396673,-0.146519,0.242053,-0.198937,0.222684,-0.240724,0.251023,-0.080657,-0.0195581
0.06,0.167544,0.149434,0.456935,0.0200869,-0.31841,0.146067,0.168236,0.128976,-0.239806,-0.477882,0.29473,0.388567,-0.181315,0.285763,-0.0876641,0.307166,-0.264683,0.234848,-0.0473559,-0.000858983
0.062,0.190555,0.157442,0.460544,0.0799386,-0.26742,0.139454,0.122042,0.095551,-0.256509,-0.500769,0.174397,0.373323,-0.150879,0.263881,-0.115471,0.220773,-0.281482,0.193923,-0.0730331,0.0158257
0.064,0.160541,0.137736,0.445993,0.143878,-0.292623,0.143446,0.0853571,0.0710752,-0.331027,-0.581448,0.15835,0.361346,-0.069693,0.281472,-0.0520346,0.175413,-0.313524,0.220408,-0.030625,-0.0292075
0.066,0.189306,0.131084,0.374908,0.217811,-0.249176,0.172769,0.0932706,0.0715413,-0.338246,-0.518181,0.204397,0.348755,-0.109116,0.256957,-0.0736859,0.0347577,-0.316253,0.246314,-0.0578063,-0.101228
0.068,0.213418,0.170883,0.367551,0.152388,-0.272247,0.168043,0.103557,0.0525066,-0.380627,-0.461353,0.201567,0.383757,-0.0937834,0.35432,-0.147105,0.062966,-0.316331,0.176407,-0.0496529,-0.0787447
0.07,0.153357,0.225501,0.411116,0.145348,-0.32153,0.160827,0.0789895,0.0614056,-0.328192,-0.496823,0.207603,0.340832,-0.170847,0.421729,-0.15424,0.0311256,-0.325467,0.161178,-0.0526858,-0.0403399
0.072,0.181059,0.213766,0.393101,0.0862739,-0.33993,0.170293,0.098512,0.0535372,-0.28694,-0.463238,0.126355,0.28924,-0.185427,0.483681,-0.101467,0.0111221,-0.240118,0.0667016,-0.0581946,-0.0384387
0.074,0.161026,0.245342,0.492692,0.0650889,-0.352752,0.124905,0.0626498,0.0611675,-0.294882,-0.490583,0.130425,0.320798,-0.212844,0.513609,-0.0768232,0.0174355,-0.284984,0.0369466,-0.0867165,-0.0787217
0.076,0.122217,0.264319,0.525858,0.0495953,-0.369323,0.16444,0.0706281,0.00809411,-0.299835,-0.557558,0.0337062,0.300337,-0.182911,0.518023,-0.0419234,0.00921731,-0.265449,0.0682043,-0.150481,-0.0566788
0.078,0.142465,0.186493,0.487669,0.0356173,-0.372172,0.132784,0.111945,0.011209,-0.315362,-0.566742,0.022829,0.367041,-0.186886,0.51542,0.0148127,0.0199367,-0.214929,0.101815,-0.100205,-0.0293091
0.08,0.125008,0.206767,0.519856,0.00525738,-0.433815,0.208302,0.0942376,-0.0271671,-0.259191,-0.541278,-0.0571167,0.367552,-0.221788,0.573657,0.0308968,-0.00444587,-0.138859,0.00934718,-0.192314,0.0260971
0.082,0.0747257,0.234404,0.504436,0.0423884,-0.475173,0.220183,0.116773,0.000852045,-0.227946,-0.421719,-0.0998565,0.297222,-0.219964,0.549546,0.0186094,0.0578895,-0.102631,0.0573654,-0.128703,0.0476963
0.084,0.0779137,0.276606,0.476602,0.0904926,-0.453558,0.239041,0.122611,0.0458,-0.22031,-0.44065,-0.0727709,0.320287,-0.300815,0.546499,0.115399,0.114599,-0.100566,0.106964,-0.191669,0.0599339
0.086,0.0561559,0.361514,0.473035,0.131566,-0.469877,0.19533,0.0325099,0.0115818,-0.248777,-0.358468,-0.126962,0.240772,-0.324831,0.487983,0.151904,0.166621,-0.211806,0.137016,-0.212226,0.0544539
0.088,0.0215749,0.281634,0.514999,0.171872,-0.425538,0.179261,-0.0154256,-0.00532218,-0.257019,-0.360622,-0.191186,0.315443,-0.317418,0.512553,0.159906,0.147568,-0.264113,0.139518,-0.303534,0.0358144
0.09,0.0276831,0.301798,0.479581,0.100433,-0.437053,0.151055,-0.0541476,-0.0142856,-0.288109,-0.421274,-0.258968,0.392987,-0.321103,0.53896,0.229393,0.0678269,-0.311154,0.116683,-0.271045,0.0317556
0.092,0.0343488,0.324676,0.494276,0.0963136,-0.294325,0.185562,-0.0609167,0.0385247,-0.262008,-0.416752,-0.214286,0.415979,-0.214687,0.545645,0.191699,0.0195809,-0.323204,0.139344,-0.278251,0.0708696
0.094,0.0585718,0.297823,0.460866,0.0935173,-0.330312,0.0820625,0.00383729,0.0448085,-0.283291,-0.430201,-0.25479,0.418086,-0.29286,0.577321,0.212557,0.00520482,-0.331666,0.119329,-0.22061,0.0127435
0.096,0.0133652,0.317256,0.481019,0.122848,-0.302231,0.113554,0.0144471,0.0292029,-0.227333,-0.432847,-0.268898,0.409151,-0.210886,0.627524,0.211919,0.0138539,-0.32864,0.0430821,-0.276082,0.0297784
0.098,-0.0249489,0.287815,0.558124,0.179073,-0.312727,0.139925,0.0386323,-0.0409775,-0.201884,-0.449211,-0.227064,0.496533,-0.211942,0.65822,0.177644,0.00298107,-0.351991,0.00779285,-0.304117,0.00904906
0.1,-0.0082611,0.25715,0.509296,0.168816,-0.257989,0.195227,-0.0398275,-0.050906,-0.14169,-0.440636,-0.271161,0.533125,-0.280437,0.65137,0.162293,-0.0523549,-0.294542,-0.035315,-0.28584,0.0147765
0.102,-0.00203414,0.262696,0.499588,0.155408,-0.233197,0.210578,-0.0312163,-0.0502333,-0.17882,-0.424438,-0.180898,0.523369,-0.301936,0.73363,0.0261683,-0.0889464,-0.316847,0.00183093,-0.295029,0.0942653
0.104,-0.0027941,0.269683,0.517203,0.117675,-0.259844,0.182388,0.0667771,-0.11531,-0.164969,-0.36175,-0.175865,0.538926,-0.313499,0.852608,0.122482,-0.108997,-0.324554,-0.0471313,-0.313772,0.0478448
0.106,0.0328025,0.311811,0.565161,0.145816,-0.217836,0.176122,0.137482,-0.0708069,-0.261897,-0.328859,-0.271536,0.479249,-0.308342,0.836405,0.134266,-0.115006,-0.252199,-0.016868,-0.269847,0.0649532
0.108,0.0123992,0.335593,0.585202,0.142959,-0.221324,0.231417,0.198763,-0.0714462,-0.233579,-0.362951,-0.261499,0.407933,-0.385201,0.785511,0.0828967,-0.241777,-0.233707,-0.0338683,-0.225623,0.034108
0.11,0.0470626,0.384369,0.532008,0.118695,-0.105895,0.264607,0.261052,-0.126108,-0.224057,-0.339964,-0.227098,0.397835,-0.364861,0.80518,0.114586,-0.30359,-0.280496,-0.0417009,-0.288366,0.0498858
0.112,-0.0218922,0.311157,0.535476,0.0482074,-0.110585,0.293199,0.264193,-0.196189,-0.246313,-0.428122,-0.193987,0.436066,-0.353529,0.783256,0.0527439,-0.303337,-0.210255,-0.0126988,-0.259891,0.0119563
0.114,-0.0976419,0.250488,0.566679,0.0491138,-0.119768,0.248117,0.271237,-0.197072,-0.300803,-0.434828,-0.194219,0.51523,-0.335847,0.819263,0.0371781,-0.32892,-0.25628,0.0586597,-0.307566,-0.00451996
0.116,-0.0815017,0.314143,0.566702,0.013523,-0.115544,0.286526,0.337148,-0.234942,-0.319712,-0.379351,-0.255008,0.497958,-0.366463,0.797899,-0.0225614,-0.359943,-0.258563,0.147423,-0.314296,0.0291585
0.118,-0.173578,0.390874,0.609828,-0.0138674,-0.1087,0.284601,0.378177,-0.162842,-0.264517,-0.383652,-0.308487,0.450511,-0.367431,0.843899,-0.0521185,-0.310516,-0.213386,0.0790644,-0.257166,-0.00764884
0.12,-0.132386,0.423827,0.675221,-0.0117127,-0.125226,0.293144,0.43354,-0.114346,-0.237135,-0.386111,-0.262862,0.403186,-0.298056,0.87635,-0.026539,-0.280218,-0.246456,0.096079,-0.227806,-0.0253725
0.122,-0.159827,0.408911,0.653276,0.0292527,-0.103405,0.400323,0.381793,-0.0537498,-0.197737,-0.402185,-0.331152,0.447621,-0.29458,0.887335,-0.0875367,-0.284169,-0.182539,0.141688,-0.273086,-0.0122174
0.124,-0.139028,0.435964,0.600865,0.0404736,-0.092774,0.364308,0.368598,-0.0767587,-0.207075,-0.465166,-0.313262,0.352093,-0.301995,0.904448,-0.163175,-0.282489,-0.142467,0.0589801,-0.281749,-0.0286805
0.126,-0.102647,0.455793,0.652945,-0.0366665,-0.0903541,0.364689,0.435536,-0.0695882,-0.18218,-0.477098,-0.415917,0.392649,-0.284387,0.900461,-0.230642,-0.286253,-0.164843,0.0330724,-0.275379,0.00226748
0.128,-0.161843,0.461072,0.629171,-0.0665037,-0.196118,0.373282,0.447197,0.0441666,-0.212803,-0.502685,-0.400843,0.392668,-0.322569,1.01083,-0.177455,-0.333226,-0.131248,0.0145591,-0.293632,0.0690948
0.13,-0.155936,0.509865,0.537451,0.0314627,-0.199428,0.356581,0.474483,0.0141282,-0.207286,-0.446689,-0.366784,0.373078,-0.419683,0.988563,-0.189988,-0.322273,-0.148042,-0.062734,-0.326321,0.111003
0.132,-0.0944841,0.449445,0.561298,0.0497495,-0.230278,0.317552,0.506629,0.0315839,-0.182094,-0.374416,-0.408526,0.434655,-0.401777,0.989514,-0.20509,-0.401833,-0.143463,0.0304859,-0.318562,0.115619
0.134,-0.0762622,0.421498,0.574008,-0.00985018,-0.215161,0.353891,0.49338,0.0131241,-0.126058,-0.407239,-0.351037,0.486286,-0.449547,1.08827,-0.206783,-0.437457,-0.152586,0.0191627,-0.290201,0.158027
0.136,-0.0619693,0.425176,0.581325,-0.0327334,-0.230749,0.331545,0.48724,0.0131176,-0.1021,-0.419697,-0.297294,0.502305,-0.47875,1.08229,-0.137388,-0.435051,-0.106507,0.0563834,-0.320258,0.240944
0.138,-0.0568519,0.413399,0.549834,-0.0591991,-0.165234,0.363338,0.489319,-0.0485742,-0.112338,-0.428856,-0.277986,0.515079,-0.499413,1.14473,-0.159149,-0.405583,-0.163827,0.0559553,-0.243059,0.223671
0.14,-0.0369741,0.366967,0.583615,-0.0231404,-0.105218,0.351983,0.516051,-0.0234151,-0.162251,-0.415425,-0.258745,0.515481,-0.585712,1.09048,-0.204912,-0.457902,-0.155718,0.106251,-0.216372,0.181949
0.142,-0.0207418,0.371945,0.578348,0.0214939,-0.113958,0.311955,0.556382,-0.0630874,-0.276894,-0.412068,-0.32215,0.410673,-0.584888,1.04865,-0.216868,-0.402716,-0.124872,0.0357631,-0.204915,0.193417
0.144,0.03713,0.368908,0.587737,0.11423,-0.129454,0.283567,0.529641,-0.0586678,-0.272899,-0.426589,-0.379038,0.408002,-0.559321,0.999872,-0.164764,-0.39153,-0.166094,-0.00207568,-0.140896,0.190569
0.146,0.0123575,0.406968,0.571284,0.07831,-0.105471,0.269875,0.61441,-0.0214878,-0.36684,-0.368255,-0.356431,0.455389,-0.62815,1.11095,-0.208531,-0.34996,-0.119729,-0.057872,-0.126442,0.224994
0.148,-0.0125491,0.404429,0.55288,0.0584686,-0.134903,0.308512,0.59243,-0.0281221,-0.393395,-0.441458,-0.335471,0.484046,-0.625309,1.14564,-0.160975,-0.382632,-0.087397,-0.0885855,-0.0685472,0.245169
0.15,0.0181373,0.375283,0.549709,0.00299928,-0.126283,0.361834,0.57921,-0.00480649,-0.373823,-0.457961,-0.31763,0.470871,-0.678884,1.10973,-0.162867,-0.36829,-0.0760532,-0.140527,-0.074548,0.256537
0.152,-0.0190554,0.455052,0.602885,-0.0253463,-0.0694141,0.431804,0.558727,-0.0147131,-0.396912,-0.465873,-0.408569,0.543707,-0.697083,1.0898,-0.263831,-0.376997,-0.11327,-0.198434,-0.0640979,0.276178
0.154,-0.0779474,0.457877,0.612024,0.0676025,-0.0550934,0.380296,0.548678,-0.0505871,-0.527828,-0.475879,-0.381369,0.578535,-0.73634,1.14939,-0.322256,-0.35165,-0.0607216,-0.173321,-0.110172,0.320731
0.156,-0.127325,0.486661,0.574676,0.059244,-0.0402722,0.295121,0.539846,-0.0426772,-0.47925,-0.498604,-0.37279,0.56472,-0.700401,1.14257,-0.352218,-0.359723,-0.0977202,-0.159942,-0.123104,0.302681
0.158,-0.0534255,0.452614,0.542673,0.0148573,-0.0422857,0.251741,0.566169,0.0160697,-0.546475,-0.470357,-0.42009,0.548597,-0.683996,1.16797,-0.42421,-0.361885,-0.181407,-0.233733,-0.0860122,0.314685
0.16,0.0143188,0.433292,0.553603,0.0558577,-0.100022,0.261968,0.542374,0.0636007,-0.539638,-0.337056,-0.425394,0.551015,-0.625921,1.19841,-0.375621,-0.313867,-0.142824,-0.229725,-0.0940247,0.316817
0.162,0.0383744,0.445869,0.537975,0.087693,-0.0925907,0.288349,0.576572,0.0681009,-0.491669,-0.375005,-0.427651,0.487543,-0.645412,1.14463,-0.370441,-0.276582,-0.168146,-0.185685,-0.187177,0.257067
0.164,-0.00480342,0.468519,0.590245,0.0571777,-0.0708859,0.318383,0.58141,0.148645,-0.52314,-0.316624,-0.418991,0.445345,-0.615104,1.148,-0.397308,-0.254999,-0.192077,-0.159897,-0.217138,0.263894
0.166,0.033087,0.480211,0.678949,-0.0137046,-0.0587936,0.28239,0.578457,0.188386,-0.509663,-0.333923,-0.40727,0.425641,-0.582369,1.24746,-0.361308,-0.283071,-0.0948018,-0.178952,-0.188431,0.315649
0.168,0.0303078,0.522024,0.716173,0.00910506,-0.0849442,0.285867,0.610713,0.144551,-0.545896,-0.351196,-0.431061,0.41481,-0.570275,1.25159,-0.372968,-0.302905,-0.119139,-0.221206,-0.173818,0.258468
0.17,0.0422268,0.536933,0.80621,-0.0568459,-0.14541,0.269802,0.682975,0.211069,-0.501364,-0.352355,-0.469133,0.405964,-0.620858,1.19043,-0.448601,-0.338588,-0.0579257,-0.173866,-0.157172,0.181082
0.172,0.178463,0.593034,0.835669,-0.00613165,-0.0384682,0.201258,0.67849,0.28457,-0.415377,-0.416094,-0.514024,0.386918,-0.598161,1.20279,-0.554407,-0.403132,-0.0579226,-0.107866,-0.165554,0.148695
0.174,0.161216,0.67305,0.864209,-0.00221366,-0.0819872,0.240139,0.676356,0.25215,-0.393459,-0.432539,-0.587895,0.402633,-0.531056,1.19301,-0.524918,-0.446947,-0.0019158,-0.137641,-0.174834,0.168485
0.176,0.167309,0.686011,0.879987,0.0218456,-0.0569233,0.240465,0.707034,0.294598,-0.375508,-0.349782,-0.512026,0.345627,-0.546256,1.15322,-0.513248,-0.479442,-0.0165522,-0.126993,-0.157189,0.199728
0.178,0.1578,0.63873,0.828617,-0.0791041,-0.0870329,0.231401,0.758601,0.370521,-0.396885,-0.339323,-0.569598,0.329423,-0.623636,1.23169,-0.539924,-0.553,0.024642,-0.0668123,-0.134993,0.259129
0.18,0.194629,0.62101,0.762871,-0.0868068,-0.17182,0.262366,0.741918,0.315987,-0.391843,-0.36586,-0.464116,0.283233,-0.589464,1.23576,-0.568837,-0.532946,-0.0133703,-0.0699524,-0.0820947,0.255233
0.182,0.327873,0.715521,0.858996,-0.0421154,-0.21133,0.226436,0.700988,0.329197,-0.393539,-0.42632,-0.482906,0.367298,-0.576227,1.28244,-0.614562,-0.604785,-0.0219871,-0.0965837,-0.0693,0.296074
0.184,0.312863,0.671083,0.833591,0.0163973,-0.235027,0.253003,0.673376,0.341675,-0.424425,-0.292668,-0.478427,0.377542,-0.579394,1.30085,-0.654206,-0.613147,-0.0741847,-0.128716,-0.0658867,0.314746
0.186,0.272446,0.714164,0.770009,0.00215007,-0.288293,0.200178,0.67635,0.326713,-0.477293,-0.262952,-0.439795,0.37061,-0.553037,1.35908,-0.677797,-0.670636,-0.0845249,-0.169773,-0.0281665,0.290871
0.188,0.272048,0.704728,0.70077,-0.0543008,-0.265416,0.149089,0.704833,0.355927,-0.488022,-0.346494,-0.45301,0.390974,-0.624214,1.27523,-0.648039,-0.690074,-0.0181223,-0.118144,-0.070576,0.249665
0.19,0.269352,0.680693,0.765179,-0.0275068,-0.261659,0.161192,0.729676,0.297096,-0.583652,-0.400341,-0.420098,0.37347,-0.671918,1.25774,-0.69043,-0.712008,0.0646681,-0.151269,-0.101263,0.240373
0.192,0.353481,0.686225,0.768349,0.0134084,-0.261298,0.160436,0.725342,0.388073,-0.606182,-0.38683,-0.438636,0.325395,-0.640973,1.21658,-0.65092,-0.72393,0.0858364,-0.158019,-0.0808521,0.183045
0.194,0.369498,0.703534,0.632238,0.020272,-0.243578,0.109758,0.744305,0.382929,-0.567046,-0.384521,-0.463176,0.266356,-0.616252,1.2956,-0.660723,-0.754427,0.0040457,-0.0869223,-0.110918,0.159922
0.196,0.396636,0.722205,0.757588,0.0144751,-0.267713,0.181051,0.697706,0.393489,-0.553135,-0.443816,-0.362785,0.299098,-0.590459,1.30393,-0.699575,-0.752424,0.00513705,-0.00706975,-0.202345,0.159644
0.198,0.292924,0.670274,0.812623,-0.0198064,-0.304547,0.102862,0.712587,0.430215,-0.554723,-0.372858,-0.392275,0.29252,-0.577925,1.33755,-0.697808,-0.814107,0.00672917,-0.013004,-0.286009,0.135469
0.2,0.322622,0.622539,0.816423,-0.00531813,-0.376234,0.178734,0.673802,0.414342,-0.531886,-0.43228,-0.479574,0.359508,-0.550154,1.38499,-0.638263,-0.746097,-0.0736087,-0.021424,-0.277245,0.125965
0.202,0.363617,0.635303,0.906566,-0.039422,-0.370875,0.180425,0.673749,0.411172,-0.544569,-0.38982,-0.453593,0.411998,-0.54531,1.37985,-0.585683,-0.770983,-0.0316164,-0.00323027,-0.320119,0.170935
0.204,0.384669,0.611939,0.897735,0.0227197,-0.311115,0.263733,0.725084,0.439925,-0.541164,-0.399622,-0.449555,0.39363,-0.519397,1.48087,-0.606766,-0.769075,-0.0375971,0.0539565,-0.281557,0.169893
0.206,0.369697,0.560321,0.861523,-0.0382708,-0.307332,0.244572,0.783019,0.449456,-0.598206,-0.41127,-0.412167,0.363994,-0.411589,1.4022,-0.637261,-0.769756,-0.0297725,0.0365727,-0.305646,0.0905615
0.208,0.453647,0.522596,0.962633,-0.038094,-0.310712,0.277518,0.814198,0.436715,-0.521474,-0.434183,-0.390993,0.305169,-0.464542,1.40657,-0.675332,-0.772799,-0.0141562,0.102536,-0.228846,-0.0175221
0.21,0.456256,0.524783,1.01994,0.0279534,-0.283799,0.28424,0.827945,0.419845,-0.49343,-0.496746,-0.394234,0.263839,-0.483743,1.43449,-0.71651,-0.788594,0.0547994,0.118975,-0.321726,0.0352503
0.212,0.443202,0.490699,1.04365,0.0430823,-0.270073,0.356095,0.790924,0.369322,-0.481941,-0.569618,-0.425383,0.199452,-0.468121,1.4427,-0.707825,-0.759496,0.111825,0.108786,-0.303353,0.0127641
0.214,0.455892,0.519323,1.11203,0.126752,-0.206694,0.357998,0.806998,0.390404,-0.529605,-0.584009,-0.426609,0.174525,-0.571431,1.45493,-0.719256,-0.751646,0.0663275,0.147279,-0.383512,0.0391514
0.216,0.460925,0.590066,1.11822,0.13711,-0.121737,0.342422,0.777056,0.390722,-0.581145,-0.597421,-0.463902,0.14887,-0.598914,1.53782,-0.682053,-0.713938,0.00150256,0.210017,-0.457511,0.0861109
0.218,0.405359,0.591176,1.09647,0.1,-0.114175,0.331487,0.814822,0.367711,-0.589013,-0.550655,-0.475441,0.146175,-0.650902,1.51,-0.659482,-0.717964,-0.0170584,0.11201,-0.475476,0.122586
0.22,0.474508,0.588564,1.08733,0.119577,-0.0751633,0.404405,0.821657,0.274717,-0.551883,-0.574185,-0.495187,0.114552,-0.650033,1.53421,-0.695907,-0.777451,0.0187859,0.176665,-0.466748,0.122322
0.222,0.473724,0.604515,1.06265,0.18041,-0.120028,0.326001,0.793479,0.274108,-0.613584,-0.55423,-0.57159,0.146061,-0.763858,1.5525,-0.667048,-0.808103,0.0218039,0.13131,-0.456264,0.0467873
0.224,0.546425,0.55369,1.04717,0.167373,-0.186847,0.353652,0.803007,0.278568,-0.61695,-0.607837,-0.566386,0.141884,-0.744932,1.59174,-0.64781,-0.777339,-0.0214037,0.168049,-0.511277,0.0865056
0.226,0.572618,0.557516,1.11628,0.152815,-0.141845,0.351702,0.78707,0.339687,-0.604355,-0.564306,-0.554225,0.174405,-0.795784,1.59291,-0.648659,-0.825474,-0.00586618,0.188077,-0.540334,0.126704
0.228,0.551783,0.556229,1.13318,0.178904,-0.133072,0.322272,0.808447,0.287982,-0.674011,-0.541266,-0.465664,0.175094,-0.795887,1.64339,-0.612917,-0.831558,-0.0314322,0.167012,-0.55051,0.134195
0.23,0.580582,0.5925,1.19118,0.181142,-0.137414,0.300425,0.816917,0.240504,-0.669435,-0.564794,-0.553583,0.196811,-0.776839,1.72538,-0.616861,-0.773664,-0.10523,0.0796842,-0.445824,0.17654
0.232,0.56442,0.615568,1.19957,0.188632,-0.103803,0.338553,0.785488,0.314423,-0.619048,-0.545741,-0.542362,0.164924,-0.750333,1.77953,-0.575684,-0.83834,-0.1272,0.0972146,-0.47688,0.202005
